lat,long,Radius,days_of_week,Hour,Demand
42.855579,74.68793,1.6048249522721225,Tuesday,1,0
42.855579,74.68793,1.6048249522721225,Wednesday,1,0
42.855579,74.68793,1.6048249522721225,Thursday,1,0
42.855579,74.68793,1.6048249522721225,Friday,1,1
42.855579,74.68793,1.6048249522721225,Saturday,1,0
42.855579,74.68793,1.6048249522721225,Sunday,1,0
42.855579,74.68793,1.6048249522721225,Monday,1,0
42.85014,74.6171,2.587921700001489,Tuesday,1,2
42.85014,74.6171,2.587921700001489,Wednesday,1,5
42.85014,74.6171,2.587921700001489,Thursday,1,2
42.85014,74.6171,2.587921700001489,Friday,1,1
42.85014,74.6171,2.587921700001489,Saturday,1,6
42.85014,74.6171,2.587921700001489,Sunday,1,2
42.85014,74.6171,2.587921700001489,Monday,1,2
42.85014,74.6171,2.587921700001489,Tuesday,1,0
42.85014,74.6171,2.587921700001489,Wednesday,1,2
42.85014,74.6171,2.587921700001489,Thursday,1,10
42.85014,74.6171,2.587921700001489,Friday,1,8
42.85014,74.6171,2.587921700001489,Saturday,1,4
42.85014,74.6171,2.587921700001489,Sunday,1,3
42.85014,74.6171,2.587921700001489,Monday,1,4
42.85014,74.6171,2.587921700001489,Tuesday,1,0
42.85014,74.6171,2.587921700001489,Wednesday,1,2
42.85014,74.6171,2.587921700001489,Thursday,1,2
42.85014,74.6171,2.587921700001489,Friday,1,5
42.85014,74.6171,2.587921700001489,Saturday,1,10
42.85014,74.6171,2.587921700001489,Sunday,1,2
42.85014,74.6171,2.587921700001489,Monday,1,0
42.85014,74.6171,2.587921700001489,Tuesday,1,5
42.85014,74.6171,2.587921700001489,Wednesday,1,2
42.85014,74.6171,2.587921700001489,Thursday,1,1
42.85014,74.6171,2.587921700001489,Friday,1,17
42.85014,74.6171,2.587921700001489,Saturday,1,8
42.85014,74.6171,2.587921700001489,Sunday,1,1
42.85014,74.6171,2.587921700001489,Monday,1,3
42.85175,74.55892,1.674078896359752,Tuesday,1,0
42.85175,74.55892,1.674078896359752,Wednesday,1,1
42.85175,74.55892,1.674078896359752,Thursday,1,1
42.85175,74.55892,1.674078896359752,Friday,1,0
42.85175,74.55892,1.674078896359752,Saturday,1,0
42.85175,74.55892,1.674078896359752,Sunday,1,0
42.85175,74.55892,1.674078896359752,Monday,1,1
42.85175,74.55892,1.674078896359752,Tuesday,1,0
42.85175,74.55892,1.674078896359752,Wednesday,1,2
42.85175,74.55892,1.674078896359752,Thursday,1,0
42.85175,74.55892,1.674078896359752,Friday,1,0
42.85175,74.55892,1.674078896359752,Saturday,1,1
42.85175,74.55892,1.674078896359752,Sunday,1,1
42.85175,74.55892,1.674078896359752,Monday,1,0
42.85175,74.55892,1.674078896359752,Tuesday,1,0
42.85175,74.55892,1.674078896359752,Wednesday,1,0
42.85175,74.55892,1.674078896359752,Thursday,1,0
42.85175,74.55892,1.674078896359752,Friday,1,3
42.85175,74.55892,1.674078896359752,Saturday,1,0
42.85175,74.55892,1.674078896359752,Sunday,1,0
42.85175,74.55892,1.674078896359752,Monday,1,0
42.85175,74.55892,1.674078896359752,Tuesday,1,0
42.85175,74.55892,1.674078896359752,Wednesday,1,0
42.85175,74.55892,1.674078896359752,Thursday,1,0
42.85175,74.55892,1.674078896359752,Friday,1,1
42.85175,74.55892,1.674078896359752,Saturday,1,2
42.85175,74.55892,1.674078896359752,Sunday,1,0
42.85175,74.55892,1.674078896359752,Monday,1,0
42.8187,74.57802,1.9451643931414644,Tuesday,1,0
42.8187,74.57802,1.9451643931414644,Wednesday,1,1
42.8187,74.57802,1.9451643931414644,Thursday,1,1
42.8187,74.57802,1.9451643931414644,Friday,1,0
42.8187,74.57802,1.9451643931414644,Saturday,1,0
42.8187,74.57802,1.9451643931414644,Sunday,1,1
42.8187,74.57802,1.9451643931414644,Monday,1,3
42.8187,74.57802,1.9451643931414644,Tuesday,1,0
42.8187,74.57802,1.9451643931414644,Wednesday,1,0
42.8187,74.57802,1.9451643931414644,Thursday,1,0
42.8187,74.57802,1.9451643931414644,Friday,1,0
42.8187,74.57802,1.9451643931414644,Saturday,1,0
42.8187,74.57802,1.9451643931414644,Sunday,1,0
42.8187,74.57802,1.9451643931414644,Monday,1,0
42.8187,74.57802,1.9451643931414644,Tuesday,1,0
42.8187,74.57802,1.9451643931414644,Wednesday,1,1
42.8187,74.57802,1.9451643931414644,Thursday,1,0
42.8187,74.57802,1.9451643931414644,Friday,1,0
42.8187,74.57802,1.9451643931414644,Saturday,1,0
42.8187,74.57802,1.9451643931414644,Sunday,1,0
42.8187,74.57802,1.9451643931414644,Monday,1,0
42.8187,74.57802,1.9451643931414644,Tuesday,1,0
42.8187,74.57802,1.9451643931414644,Wednesday,1,1
42.8187,74.57802,1.9451643931414644,Thursday,1,0
42.8187,74.57802,1.9451643931414644,Friday,1,0
42.8187,74.57802,1.9451643931414644,Saturday,1,2
42.8187,74.57802,1.9451643931414644,Sunday,1,0
42.8187,74.57802,1.9451643931414644,Monday,1,0
42.81779,74.63126,1.655120638266364,Tuesday,1,1
42.81779,74.63126,1.655120638266364,Wednesday,1,0
42.81779,74.63126,1.655120638266364,Thursday,1,4
42.81779,74.63126,1.655120638266364,Friday,1,0
42.81779,74.63126,1.655120638266364,Saturday,1,0
42.81779,74.63126,1.655120638266364,Sunday,1,1
42.81779,74.63126,1.655120638266364,Monday,1,1
42.81779,74.63126,1.655120638266364,Tuesday,1,0
42.81779,74.63126,1.655120638266364,Wednesday,1,0
42.81779,74.63126,1.655120638266364,Thursday,1,1
42.81779,74.63126,1.655120638266364,Friday,1,2
42.81779,74.63126,1.655120638266364,Saturday,1,3
42.81779,74.63126,1.655120638266364,Sunday,1,2
42.81779,74.63126,1.655120638266364,Monday,1,0
42.81779,74.63126,1.655120638266364,Tuesday,1,0
42.81779,74.63126,1.655120638266364,Wednesday,1,1
42.81779,74.63126,1.655120638266364,Thursday,1,0
42.81779,74.63126,1.655120638266364,Friday,1,0
42.81779,74.63126,1.655120638266364,Saturday,1,3
42.81779,74.63126,1.655120638266364,Sunday,1,1
42.81779,74.63126,1.655120638266364,Monday,1,0
42.81779,74.63126,1.655120638266364,Tuesday,1,0
42.81779,74.63126,1.655120638266364,Wednesday,1,2
42.81779,74.63126,1.655120638266364,Thursday,1,0
42.81779,74.63126,1.655120638266364,Friday,1,1
42.81779,74.63126,1.655120638266364,Saturday,1,5
42.81779,74.63126,1.655120638266364,Sunday,1,0
42.81779,74.63126,1.655120638266364,Monday,1,0
42.89672,74.56729,1.1189991701967175,Tuesday,1,0
42.89672,74.56729,1.1189991701967175,Wednesday,1,0
42.89672,74.56729,1.1189991701967175,Thursday,1,0
42.89672,74.56729,1.1189991701967175,Friday,1,0
42.89672,74.56729,1.1189991701967175,Saturday,1,0
42.89672,74.56729,1.1189991701967175,Sunday,1,0
42.89672,74.56729,1.1189991701967175,Monday,1,0
42.89672,74.56729,1.1189991701967175,Tuesday,1,0
42.89672,74.56729,1.1189991701967175,Wednesday,1,0
42.89672,74.56729,1.1189991701967175,Thursday,1,0
42.89672,74.56729,1.1189991701967175,Friday,1,0
42.89672,74.56729,1.1189991701967175,Saturday,1,0
42.89672,74.56729,1.1189991701967175,Sunday,1,0
42.89672,74.56729,1.1189991701967175,Monday,1,0
42.89672,74.56729,1.1189991701967175,Tuesday,1,0
42.89672,74.56729,1.1189991701967175,Wednesday,1,0
42.89672,74.56729,1.1189991701967175,Thursday,1,0
42.89672,74.56729,1.1189991701967175,Friday,1,0
42.89672,74.56729,1.1189991701967175,Saturday,1,0
42.89672,74.56729,1.1189991701967175,Sunday,1,0
42.89672,74.56729,1.1189991701967175,Monday,1,0
42.89672,74.56729,1.1189991701967175,Tuesday,1,0
42.89672,74.56729,1.1189991701967175,Wednesday,1,0
42.89672,74.56729,1.1189991701967175,Thursday,1,0
42.89672,74.56729,1.1189991701967175,Friday,1,0
42.89672,74.56729,1.1189991701967175,Saturday,1,0
42.89672,74.56729,1.1189991701967175,Sunday,1,0
42.89672,74.56729,1.1189991701967175,Monday,1,0
42.90293,74.6338,1.1341908844262232,Tuesday,1,0
42.90293,74.6338,1.1341908844262232,Wednesday,1,0
42.90293,74.6338,1.1341908844262232,Thursday,1,0
42.90293,74.6338,1.1341908844262232,Friday,1,0
42.90293,74.6338,1.1341908844262232,Saturday,1,0
42.90293,74.6338,1.1341908844262232,Sunday,1,0
42.90293,74.6338,1.1341908844262232,Monday,1,0
42.90293,74.6338,1.1341908844262232,Tuesday,1,0
42.90293,74.6338,1.1341908844262232,Wednesday,1,0
42.90293,74.6338,1.1341908844262232,Thursday,1,0
42.90293,74.6338,1.1341908844262232,Friday,1,0
42.90293,74.6338,1.1341908844262232,Saturday,1,0
42.90293,74.6338,1.1341908844262232,Sunday,1,0
42.90293,74.6338,1.1341908844262232,Monday,1,0
42.90293,74.6338,1.1341908844262232,Tuesday,1,0
42.90293,74.6338,1.1341908844262232,Wednesday,1,0
42.90293,74.6338,1.1341908844262232,Thursday,1,0
42.90293,74.6338,1.1341908844262232,Friday,1,0
42.90293,74.6338,1.1341908844262232,Saturday,1,0
42.90293,74.6338,1.1341908844262232,Sunday,1,0
42.90293,74.6338,1.1341908844262232,Monday,1,0
42.90293,74.6338,1.1341908844262232,Tuesday,1,0
42.90293,74.6338,1.1341908844262232,Wednesday,1,0
42.90293,74.6338,1.1341908844262232,Thursday,1,0
42.90293,74.6338,1.1341908844262232,Friday,1,0
42.90293,74.6338,1.1341908844262232,Saturday,1,0
42.90293,74.6338,1.1341908844262232,Sunday,1,0
42.90293,74.6338,1.1341908844262232,Monday,1,0
42.92853,74.60041,1.8581972928886084,Tuesday,1,0
42.92853,74.60041,1.8581972928886084,Wednesday,1,0
42.92853,74.60041,1.8581972928886084,Thursday,1,0
42.92853,74.60041,1.8581972928886084,Friday,1,0
42.92853,74.60041,1.8581972928886084,Saturday,1,0
42.92853,74.60041,1.8581972928886084,Sunday,1,0
42.92853,74.60041,1.8581972928886084,Monday,1,0
42.92853,74.60041,1.8581972928886084,Tuesday,1,0
42.92853,74.60041,1.8581972928886084,Wednesday,1,0
42.92853,74.60041,1.8581972928886084,Thursday,1,0
42.92853,74.60041,1.8581972928886084,Friday,1,0
42.92853,74.60041,1.8581972928886084,Saturday,1,0
42.92853,74.60041,1.8581972928886084,Sunday,1,0
42.92853,74.60041,1.8581972928886084,Monday,1,1
42.92853,74.60041,1.8581972928886084,Tuesday,1,0
42.92853,74.60041,1.8581972928886084,Wednesday,1,0
42.92853,74.60041,1.8581972928886084,Thursday,1,0
42.92853,74.60041,1.8581972928886084,Friday,1,0
42.92853,74.60041,1.8581972928886084,Saturday,1,0
42.92853,74.60041,1.8581972928886084,Sunday,1,0
42.92853,74.60041,1.8581972928886084,Monday,1,0
42.92853,74.60041,1.8581972928886084,Tuesday,1,0
42.92853,74.60041,1.8581972928886084,Wednesday,1,0
42.92853,74.60041,1.8581972928886084,Thursday,1,0
42.92853,74.60041,1.8581972928886084,Friday,1,0
42.92853,74.60041,1.8581972928886084,Saturday,1,0
42.92853,74.60041,1.8581972928886084,Sunday,1,2
42.92853,74.60041,1.8581972928886084,Monday,1,0
42.88062,74.6338,1.9337479172462528,Tuesday,1,0
42.88062,74.6338,1.9337479172462528,Wednesday,1,0
42.88062,74.6338,1.9337479172462528,Thursday,1,0
42.88062,74.6338,1.9337479172462528,Friday,1,1
42.88062,74.6338,1.9337479172462528,Saturday,1,0
42.88062,74.6338,1.9337479172462528,Sunday,1,0
42.88062,74.6338,1.9337479172462528,Monday,1,0
42.88062,74.6338,1.9337479172462528,Tuesday,1,0
42.88062,74.6338,1.9337479172462528,Wednesday,1,0
42.88062,74.6338,1.9337479172462528,Thursday,1,1
42.88062,74.6338,1.9337479172462528,Friday,1,0
42.88062,74.6338,1.9337479172462528,Saturday,1,0
42.88062,74.6338,1.9337479172462528,Sunday,1,1
42.88062,74.6338,1.9337479172462528,Monday,1,0
42.88062,74.6338,1.9337479172462528,Tuesday,1,0
42.88062,74.6338,1.9337479172462528,Wednesday,1,0
42.88062,74.6338,1.9337479172462528,Thursday,1,0
42.88062,74.6338,1.9337479172462528,Friday,1,0
42.88062,74.6338,1.9337479172462528,Saturday,1,0
42.88062,74.6338,1.9337479172462528,Sunday,1,0
42.88062,74.6338,1.9337479172462528,Monday,1,0
42.88062,74.6338,1.9337479172462528,Tuesday,1,0
42.88062,74.6338,1.9337479172462528,Wednesday,1,0
42.88062,74.6338,1.9337479172462528,Thursday,1,0
42.88062,74.6338,1.9337479172462528,Friday,1,0
42.88062,74.6338,1.9337479172462528,Saturday,1,1
42.88062,74.6338,1.9337479172462528,Sunday,1,0
42.88062,74.6338,1.9337479172462528,Monday,1,0
42.87845,74.58931,1.6885407670727057,Tuesday,1,0
42.87845,74.58931,1.6885407670727057,Wednesday,1,1
42.87845,74.58931,1.6885407670727057,Thursday,1,0
42.87845,74.58931,1.6885407670727057,Friday,1,4
42.87845,74.58931,1.6885407670727057,Saturday,1,8
42.87845,74.58931,1.6885407670727057,Sunday,1,4
42.87845,74.58931,1.6885407670727057,Monday,1,5
42.87845,74.58931,1.6885407670727057,Tuesday,1,2
42.87845,74.58931,1.6885407670727057,Wednesday,1,3
42.87845,74.58931,1.6885407670727057,Thursday,1,7
42.87845,74.58931,1.6885407670727057,Friday,1,8
42.87845,74.58931,1.6885407670727057,Saturday,1,12
42.87845,74.58931,1.6885407670727057,Sunday,1,5
42.87845,74.58931,1.6885407670727057,Monday,1,8
42.87845,74.58931,1.6885407670727057,Tuesday,1,3
42.87845,74.58931,1.6885407670727057,Wednesday,1,0
42.87845,74.58931,1.6885407670727057,Thursday,1,0
42.87845,74.58931,1.6885407670727057,Friday,1,12
42.87845,74.58931,1.6885407670727057,Saturday,1,3
42.87845,74.58931,1.6885407670727057,Sunday,1,6
42.87845,74.58931,1.6885407670727057,Monday,1,2
42.87845,74.58931,1.6885407670727057,Tuesday,1,9
42.87845,74.58931,1.6885407670727057,Wednesday,1,3
42.87845,74.58931,1.6885407670727057,Thursday,1,9
42.87845,74.58931,1.6885407670727057,Friday,1,1
42.87845,74.58931,1.6885407670727057,Saturday,1,6
42.87845,74.58931,1.6885407670727057,Sunday,1,4
42.87845,74.58931,1.6885407670727057,Monday,1,0
42.87596,74.62808,1.8105255707591272,Tuesday,1,6
42.87596,74.62808,1.8105255707591272,Wednesday,1,2
42.87596,74.62808,1.8105255707591272,Thursday,1,6
42.87596,74.62808,1.8105255707591272,Friday,1,3
42.87596,74.62808,1.8105255707591272,Saturday,1,4
42.87596,74.62808,1.8105255707591272,Sunday,1,2
42.87596,74.62808,1.8105255707591272,Monday,1,4
42.87596,74.62808,1.8105255707591272,Tuesday,1,2
42.87596,74.62808,1.8105255707591272,Wednesday,1,5
42.87596,74.62808,1.8105255707591272,Thursday,1,4
42.87596,74.62808,1.8105255707591272,Friday,1,2
42.87596,74.62808,1.8105255707591272,Saturday,1,4
42.87596,74.62808,1.8105255707591272,Sunday,1,2
42.87596,74.62808,1.8105255707591272,Monday,1,5
42.87596,74.62808,1.8105255707591272,Tuesday,1,7
42.87596,74.62808,1.8105255707591272,Wednesday,1,4
42.87596,74.62808,1.8105255707591272,Thursday,1,4
42.87596,74.62808,1.8105255707591272,Friday,1,2
42.87596,74.62808,1.8105255707591272,Saturday,1,3
42.87596,74.62808,1.8105255707591272,Sunday,1,7
42.87596,74.62808,1.8105255707591272,Monday,1,3
42.87596,74.62808,1.8105255707591272,Tuesday,1,5
42.87596,74.62808,1.8105255707591272,Wednesday,1,0
42.87596,74.62808,1.8105255707591272,Thursday,1,3
42.87596,74.62808,1.8105255707591272,Friday,1,5
42.87596,74.62808,1.8105255707591272,Saturday,1,9
42.87596,74.62808,1.8105255707591272,Sunday,1,4
42.87596,74.62808,1.8105255707591272,Monday,1,0
42.87495,74.65686,1.5500691532370605,Tuesday,1,0
42.87495,74.65686,1.5500691532370605,Wednesday,1,0
42.87495,74.65686,1.5500691532370605,Thursday,1,0
42.87495,74.65686,1.5500691532370605,Friday,1,0
42.87495,74.65686,1.5500691532370605,Saturday,1,0
42.87495,74.65686,1.5500691532370605,Sunday,1,0
42.87495,74.65686,1.5500691532370605,Monday,1,0
42.87495,74.65686,1.5500691532370605,Tuesday,1,0
42.87495,74.65686,1.5500691532370605,Wednesday,1,0
42.87495,74.65686,1.5500691532370605,Thursday,1,0
42.87495,74.65686,1.5500691532370605,Friday,1,0
42.87495,74.65686,1.5500691532370605,Saturday,1,0
42.87495,74.65686,1.5500691532370605,Sunday,1,0
42.87495,74.65686,1.5500691532370605,Monday,1,0
42.87495,74.65686,1.5500691532370605,Tuesday,1,2
42.87495,74.65686,1.5500691532370605,Wednesday,1,0
42.87495,74.65686,1.5500691532370605,Thursday,1,0
42.87495,74.65686,1.5500691532370605,Friday,1,0
42.87495,74.65686,1.5500691532370605,Saturday,1,0
42.87495,74.65686,1.5500691532370605,Sunday,1,0
42.87495,74.65686,1.5500691532370605,Monday,1,0
42.87495,74.65686,1.5500691532370605,Tuesday,1,0
42.87495,74.65686,1.5500691532370605,Wednesday,1,0
42.87495,74.65686,1.5500691532370605,Thursday,1,0
